#fusion	count_of_samples	%ofSamples
HLA-C--HLA-B	3471	94.37
HLA-B--HLA-C	2627	71.42
HLA-DRB5--HLA-DRB1	1676	45.57
ACTB--ACTG1	1336	36.32
TAGLN--PCSK7|TAGLN	1309	35.59
ACTG1--ACTB	1309	35.59
CDK11B--CDK11A	1292	35.13
PCSK7|TAGLN--TAGLN	1243	33.80
IFITM2--IFITM3	1229	33.41
HLA-A--HLA-B	1080	29.36
MAP3K13--RPL4	1018	27.68
HLA-B--HLA-A	1018	27.68
IFITM3--IFITM2	939	25.53
RPL4--MAP3K13	890	24.20
ENO1--EDARADD	818	22.24
GOLGA3--RPS11	814	22.13
HLA-A--HLA-C	760	20.66
RPL8--PCOLCE2	757	20.58
EDARADD--ENO1	742	20.17
RPS11--GOLGA3	712	19.36
C15orf57--CBX3	689	18.73
PCOLCE2--RPL8	677	18.41
HSP90B1--LRRC28	667	18.13
SLCO5A1--RYR2	648	17.62
EEF1G--CHCHD3	627	17.05
HLA-C--HLA-E	621	16.88
FTH1--BEST1|FTH1	613	16.67
RPS14--RASAL2	611	16.61
RASAL2--RPS14	607	16.50
HLA-C--HLA-A	589	16.01
LRRC28--HSP90B1	565	15.36
HLA-DRB1--HLA-DRB5	565	15.36
HLA-E--HLA-C	551	14.98
RYR2--SLCO5A1	550	14.95
MUC16--HLA-C	548	14.90
HLA-C--MUC16	548	14.90
RAB3GAP2--MORF4L1	518	14.08
CAP1--ROBO2	518	14.08
NDE1|MYH11--MYH11	508	13.81
RPS13--ZYG11B	503	13.68
HLA-DQA2--HLA-DQA1	484	13.16
ACTB--FRMD5	464	12.62
HLA-B--HLA-E	455	12.37
HLA-DQB1--HLA-DQB2	452	12.29
HLA-E--HLA-B	449	12.21
MYH11--NDE1|MYH11	444	12.07
PABPC1--PABPC3	439	11.94
NDE1|MYH11--MYH9	439	11.94
H3F3B--H3F3C	436	11.85
EEF1A1--TPK1	430	11.69
MYH9--NDE1|MYH11	418	11.36
TPM2--TPM1	402	10.93
OXR1--TAGLN2	398	10.82
ACTB--KDM4C	394	10.71
ROBO2--CAP1	388	10.55
HLA-G--HLA-B	385	10.47
CHCHD3--EEF1G	379	10.30
TPM1--TPM2	365	9.92
NUP50--CDH18	365	9.92
RPS14--MINOS1|MINOS1-NBL1	361	9.82
RPS18--SFI1	360	9.79
PCNP--RPS18	359	9.76
BEST1|FTH1--RSF1	355	9.65
RPL10--ASTN2	351	9.54
ACTB--ACTA2	350	9.52
TAGLN2--OXR1	347	9.43
BEND6--BEST1|FTH1	347	9.43
RPS18--PCNP	342	9.30
RPS3--CAGE1	337	9.16
PABPC3--PABPC1	332	9.03
TPT1--PZP	331	9.00
NUDCD3--RPL32	331	9.00
ACTA2--ACTB	329	8.95
MORF4L1--RAB3GAP2	320	8.70
RSF1--BEST1|FTH1	319	8.67
HLA-A--HLA-G	319	8.67
TMSB4X--SLC27A4	318	8.65
MYH6--MYH7	312	8.48
RBMX--RBMXL1|CCBL2	310	8.43
ACTA2--ACTG2	310	8.43
RBMXL1|CCBL2--RBMX	309	8.40
MINOS1|MINOS1-NBL1--RPS14	305	8.29
HLA-B--HLA-F	304	8.27
FCGR3A--FCGR3B	299	8.13
ABCB9|ARL6IP4--ARL6IP4	298	8.10
ACTG2--ACTA2	297	8.08
UBB--UBC	293	7.97
MYH7--MYH6	290	7.88
NDE1|MYH11--FLNA	289	7.86
HLA-F--HLA-B	288	7.83
HLA-C--HLA-G	287	7.80
SLC27A4--TMSB4X	284	7.72
MYH11--MYH9	279	7.59
ADH1A--ADH1B	276	7.50
SLC35E2B--SLC35E2	275	7.48
RPL19--NAPEPLD	275	7.48
TEX36--ALDOA	272	7.40
FLNA--NDE1|MYH11	271	7.37
CAGE1--RPS3	266	7.23
PCSK7|TAGLN--FLNA	265	7.21
DPP10--DLG2	263	7.15
HBB--HBD	262	7.12
FLNA--MYL9	260	7.07
SNX22|PPIB--PPIB	256	6.96
NDE1|MYH11--TPM2	255	6.93
MYH9--MYH11	255	6.93
H3F3C--H3F3B	255	6.93
EIF5A--EIF5AL1	255	6.93
MYL9--FLNA	253	6.88
BEST1|FTH1--BEND6	253	6.88
HSPA1B--HSPA1A	252	6.85
