Table S3. A list of recurrent fusion transcripts across 13 tumor types															
FusionPair	BLCA	BRCA	GBM	HNSC	KIRC	LAML	LGG	LUAD	LUSC	OV	PRAD	SKCM	THCA	ALL	Previously reported
TMPRSS2__ERG	0	0	0	0	0	0	0	0	0	0	59	0	0	59	yes
AC011997.1__LRRC69	0	12	0	1	0	0	0	0	18	0	0	0	0	31	no
C10orf68__CCDC7	3	10	0	0	3	0	0	10	0	0	1	0	0	27	no
TTC6__MIPOL1	0	19	0	0	0	0	0	0	2	0	3	0	0	24	no
RPS6KB1__VMP1	1	5	0	3	0	0	0	8	0	1	0	0	0	18	yes
FGFR3__TACC3	3	0	5	2	0	0	1	0	4	0	0	0	0	15	yes
PML__RARA	0	0	0	0	0	15	0	0	0	0	0	0	0	15	yes
CCDC6__RET	0	0	0	0	0	0	0	0	0	0	0	0	12	12	yes
ESR1__C6orf97	0	11	0	0	0	0	0	0	0	0	0	0	0	11	yes
RARA__PML	0	0	0	0	0	10	0	0	0	0	0	0	0	10	yes
USP22__MYH10	0	9	0	0	0	0	0	0	0	0	0	0	0	9	no
ZFP91__RAB6A	0	9	0	0	0	0	0	0	0	0	0	0	0	9	no
DHX40__RNFT1	0	1	0	0	0	0	0	7	1	0	0	0	0	9	no
ETV6__NTRK3	0	1	0	0	0	0	0	0	0	0	0	1	6	8	yes
CCDC6__ANK3	0	2	0	0	0	0	0	1	0	4	0	0	0	7	no
RUNX1__RUNX1T1	0	0	0	0	0	7	0	0	0	0	0	0	0	7	yes
ZCCHC8__RSRC2	1	2	0	1	1	0	1	0	0	0	0	0	0	6	no
THSD4__LRRC49	0	6	0	0	0	0	0	0	0	0	0	0	0	6	no
EGFR__SEPT14	0	0	5	0	0	0	1	0	0	0	0	0	0	6	yes
MPP5__GPHN	2	1	0	0	0	0	0	2	0	0	0	0	0	5	no
MRPL48__DTX4	0	5	0	0	0	0	0	0	0	0	0	0	0	5	no
QKI__PACRG	0	3	0	0	0	0	0	1	0	1	0	0	0	5	no
KAT6B__ADK	0	2	0	0	0	0	0	1	0	2	0	0	0	5	no
SH3PXD2A__OBFC1	0	1	0	2	0	0	0	1	1	0	0	0	0	5	no
MLL5__LHFPL3	0	1	0	0	0	0	0	2	0	1	0	1	0	5	no
ITCH__ASIP	0	1	0	1	0	0	0	1	1	1	0	0	0	5	no
PDE4D__DEPDC1B	0	1	0	0	0	0	0	1	1	0	2	0	0	5	no
EML4__ALK	0	0	0	0	0	0	0	4	0	0	0	0	1	5	yes
AFF1__PTPN13	2	0	0	0	0	0	0	1	1	0	0	0	0	4	no
FAM190A__MMRN1	1	1	0	0	0	0	0	1	1	0	0	0	0	4	no
HTATSF1__BRS3	0	2	0	0	0	0	0	1	0	0	0	0	1	4	no
PCMTD1__ST18	0	3	0	0	0	0	0	0	0	0	1	0	0	4	no
NCOR2__SCARB1	0	1	0	0	0	1	0	2	0	0	0	0	0	4	no
RP11-47I22.3__PRKCH	0	2	0	0	1	0	0	1	0	0	0	0	0	4	no
EIF2C2__PTK2	0	2	0	0	0	0	0	0	1	1	0	0	0	4	no
WASF2__AHDC1	0	0	0	1	0	0	0	0	3	0	0	0	0	4	no
MLL__MLLT10	0	0	0	0	0	4	0	0	0	0	0	0	0	4	yes
PAX8__PPARG	0	0	0	0	0	0	0	0	0	0	0	0	4	4	yes
NCOA4__RET	0	0	0	0	0	0	0	0	0	0	0	0	4	4	yes
TSEN2__PPARG	3	0	0	0	0	0	0	0	0	0	0	0	0	3	no
LRBA__SH3D19	1	0	0	1	0	0	0	0	1	0	0	0	0	3	no
RIMS2__BAALC	1	2	0	0	0	0	0	0	0	0	0	0	0	3	no
BAZ2A__PRIM1	1	1	0	0	0	0	0	0	1	0	0	0	0	3	no
EP400__SFSWAP	0	1	0	1	0	0	0	1	0	0	0	0	0	3	no
TMEM87B__MERTK	0	2	0	0	0	0	0	1	0	0	0	0	0	3	no
LMBR1__PTPRN2	0	2	0	0	0	0	0	0	0	0	1	0	0	3	no
TNRC18__RNF216	0	2	0	0	0	0	0	1	0	0	0	0	0	3	no
EXOC6B__SFXN5	0	2	0	0	0	0	0	1	0	0	0	0	0	3	no
SEPT9__SEC14L1	0	2	0	0	0	0	0	0	0	1	0	0	0	3	no
NSD1__ZNF346	0	2	0	0	0	0	0	0	0	1	0	0	0	3	no
FOXP1__EIF4E3	0	3	0	0	0	0	0	0	0	0	0	0	0	3	no
ARRB1__GDPD5	0	2	0	0	0	0	0	1	0	0	0	0	0	3	no
UBXN4__R3HDM1	0	1	0	0	0	0	0	2	0	0	0	0	0	3	no
FRS2__LYZ	0	2	0	0	0	0	0	1	0	0	0	0	0	3	no
ASCC1__MICU1	0	3	0	0	0	0	0	0	0	0	0	0	0	3	no
IL27RA__RLN3	0	1	0	1	0	0	0	0	0	1	0	0	0	3	no
PPP1CB__PLB1	0	2	0	0	0	0	0	0	0	1	0	0	0	3	no
GATAD2B__NUP210L	0	1	0	0	0	0	0	1	0	1	0	0	0	3	no
BPTF__PITPNC1	0	3	0	0	0	0	0	0	0	0	0	0	0	3	no
KDM2A__RHOD	0	2	0	0	0	0	0	0	1	0	0	0	0	3	no
MTA1__PACS2	0	1	0	1	0	0	0	0	1	0	0	0	0	3	no
MGAT4A__C2orf55	0	2	0	0	0	0	0	1	0	0	0	0	0	3	no
RFTN1__DAZL	0	2	0	0	0	0	0	1	0	0	0	0	0	3	no
MTMR2__MAML2	0	2	0	0	0	0	1	0	0	0	0	0	0	3	no
