omimId1	omimTitle	HgeneSymbol	omimId2	TgeneSymbol	diseaseName	pubmedId
	WD REPEAT-CONTAINING PROTEIN 22	ABCG2	603812	DCAF5	uterineleiomyoma	9740667
603812	WD REPEAT-CONTAINING PROTEIN 22	DCAF5		ABCG2	uterineleiomyoma	9740667
603050	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	ABI1	159555	MLL	acutemyeloidleukemia	12527918
159555	MYELOID/LYMPHOID OR MIXED LINEAGE LEUKEMIA	MLL	603050	ABI1	acutemyeloidleukemia	12527918
603050	SPECTRIN SH3 DOMAIN-BINDING PROTEIN 1	ABI1	159555	MLL	acutemyeloidleukemia	9694699
159555	SPECTRIN SH3 DOMAIN-BINDING PROTEIN 1	MLL	603050	ABI1	acutemyeloidleukemia	9694699
	BREAKPOINT CLUSTER REGION	ABL1	151410	BCR	ChronicMyelogenousLeukemia	6584200
151410	BREAKPOINT CLUSTER REGION	BCR		ABL1	ChronicMyelogenousLeukemia	6584200
	BREAKPOINT CLUSTER REGION	ABL1	151410	BCR	AcuteLymphocyticLeukemia	3513189
151410	BREAKPOINT CLUSTER REGION	BCR		ABL1	AcuteLymphocyticLeukemia	3513189
189980	ABELSON MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 1	ABL1	151410	BCR	ChronicMyelogenousLeukemia	7665185
151410	ABELSON MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 1	BCR	189980	ABL1	ChronicMyelogenousLeukemia	7665185
189980	ABELSON MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 1	ABL1	151410	BCR	AcuteLymphocyticLeukemia	7665185
151410	ABELSON MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 1	BCR	189980	ABL1	AcuteLymphocyticLeukemia	7665185
189980	"LEUKEMIA, CHRONIC MYELOID"	ABL1	608232	BCR	ChronicMyelogenousLeukemia	6584200
608232	"LEUKEMIA, CHRONIC MYELOID"	BCR	189980	ABL1	ChronicMyelogenousLeukemia	6584200
189980	ETS VARIANT GENE 6	ABL1	600618	ETV6	humanacutelymphoblasticleukaemia	7805037
600618	ETS VARIANT GENE 6	ETV6	189980	ABL1	humanacutelymphoblasticleukaemia	7805037
189980	ABELSON MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 1	ABL1	114350	NUP214	T-cellacutelymphoblasticleukemia	15361874
114350	ABELSON MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 1	NUP214	189980	ABL1	T-cellacutelymphoblasticleukemia	15361874
189980	"NUCLEOPORIN, 214-KD"	ABL1	114350	NUP214	T-cellacutelymphoblasticleukemia	15361874
114350	"NUCLEOPORIN, 214-KD"	NUP214	189980	ABL1	T-cellacutelymphoblasticleukemia	15361874
164690	V-ABL ABELSON MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 2	ABL2	600618	ETV6	acutemyeloblasticleukemiawithmorphologyM3cellline	10706884
600618	V-ABL ABELSON MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 2	ETV6	164690	ABL2	acutemyeloblasticleukemiawithmorphologyM3cellline	10706884
