#see: http://cancer.sanger.ac.uk/cosmic/fusion
#fusion	samples	mutations	papers 
ACBD6/RRP15	2	2	1
ACSL3/ETV1	23	1	1
ACTB/GLI1	6	6	3
AGPAT5/MCPH1	2	2	1
AGTRAP/BRAF	1	1	4
AKAP9/BRAF	292	4	10
ARFIP1/FHDC1	2	2	1
ARID1A/MAST2	153	1	1
ASPSCR1/TFE3	221	75	31
ATG4C/FBXO38	2	2	1
ATIC/ALK	99	12	20
BBS9/PKD1L1	2	2	1
BCR/ABL1	5990	5142	196
BCR/JAK2	134	3	6
BRD3/NUTM1	3	2	6
BRD4/NUTM1	174	19	13
C2orf44/ALK	1	1	1
CANT1/ETV4	2	2	2
CARS/ALK	4	3	6
CCDC6/RET	6365	591	153
CD74/NRG1	882	11	3
CD74/ROS1	1571	38	46
CDH11/USP6	128	13	3
CDKN2D/WDFY2	67	13	1
CEP89/BRAF	38	1	1
CHCHD7/PLAG1	120	4	4
CIC/DUX4L1	39	13	4
CIC/FOXO4	2	2	3
CLCN6/BRAF	96	1	1
CLIP1/ROS1	38	1	1
CLTC/ALK	173	26	24
CLTC/TFE3	3	1	4
CNBP/USP6	1	1	2
COL1A1/PDGFB	399	262	48
COL1A1/USP6	2	2	3
COL1A2/PLAG1	4	1	3
CRTC1/MAML2	632	253	36
CRTC3/MAML2	302	13	3
CTAGE5/SIP1	2	2	1
CTNNB1/PLAG1	108	17	9
DCTN1/ALK	39	3	2
DDX5/ETV4	1	1	1
EIF3E/RSPO2	69	2	2
EIF3K/CYP39A1	2	2	1
EML4/ALK	10751	680	477
EPC1/PHF1	1	1	2
ERC1/RET	194	2	9
ERC1/ROS1	38	1	1
ERO1L/FERMT2	2	2	1
ESRP1/RAF1	4	1	2
ETV6/ITPR2	2	2	1
ETV6/JAK2	192	4	8
ETV6/NTRK3	1050	144	44
EWSR1/ATF1	355	179	40
EWSR1/CREB1	84	28	9
EWSR1/DDIT3	344	26	23
EWSR1/ERG	1639	122	88
EWSR1/ETV1	65	4	10
EWSR1/ETV4	66	3	11
EWSR1/FEV	92	6	15
EWSR1/FLI1	2132	1332	162
EWSR1/NFATC1	1	1	1
EWSR1/NFATC2	4	4	2
EWSR1/NR4A3	176	85	20
EWSR1/PATZ1	1	1	2
EWSR1/PBX1	67	6	2
EWSR1/POU5F1	73	10	5
EWSR1/SMARCA5	1	1	2
EWSR1/SP3	1	1	2
EWSR1/WT1	267	121	55
EWSR1/YY1	16	2	1
EWSR1/ZNF384	2	2	1
EWSR1/ZNF444	67	2	2
EZR/ROS1	1104	7	17
FAM131B/BRAF	107	6	6
FBXL18/RNF216	2	2	1
FCHSD1/BRAF	2	1	1
FGFR1/ZNF703	2	2	1
FGFR1/PLAG1	16	10	1
FGFR1/TACC1	1	1	3
FGFR3/BAIAP2L1	31	1	3
FGFR3/TACC3	250	14	8
FN1/ALK	1	1	2
FUS/ATF1	6	2	5
FUS/CREB3L1	236	4	5
FUS/CREB3L2	332	98	10
FUS/DDIT3	627	351	44
FUS/ERG	52	52	15
FUS/FEV	1	1	2
GATM/BRAF	11	1	1
GMDS/PDE8B	2	2	1
GNAI1/BRAF	96	1	1
GOLGA5/RET	278	3	14
GOPC/ROS1	242	7	15
GPBP1L1/MAST2	153	1	1
HACL1/RAF1	11	1	1
HAS2/PLAG1	5	4	4
HERPUD1/BRAF	11	1	1
HEY1/NCOA2	31	8	2
HIP1/ALK	4	4	3
HLA-A/ROS1	38	1	1
HMGA2/ALDH2	1	1	1
HMGA2/CCNB1IP1	16	1	1
HMGA2/COX6C	16	1	2
HMGA2/EBF1	2	1	2
HMGA2/FHIT	60	1	4
HMGA2/LHFP	5	1	3
HMGA2/LPP	302	73	16
HMGA2/NFIB	166	4	9
HMGA2/RAD51B	40	5	5
HMGA2/WIF1	74	7	3
HN1/USH1G	2	2	1
HNRNPA2B1/ETV1	219	5	4
HOOK3/RET	55	1	6
IL6R/ATP8B2	2	2	1
INTS4/GAB2	2	2	1
IRF2BP2/CDX1	4	1	1
JAZF1/PHF1	40	4	4
JAZF1/SUZ12	156	71	15
KIAA1549/BRAF	1328	595	75
KIAA1598/ROS1	38	1	1
KIF5B/ALK	2385	10	31
KIF5B/RET	3680	61	50
KLC1/ALK	301	1	6
KLK2/ETV1	25	1	1
KLK2/ETV4	1	1	1
KMT2A/ABI1	2	2	4
KMT2A/ABI2	1	1	1
KMT2A/ACTN4	2	2	2
KMT2A/AFF1	1176	256	55
KMT2A/AFF3	127	4	4
KMT2A/AFF4	21	4	3
KMT2A/ARHGAP26	2	2	3
KMT2A/ARHGEF12	1	1	3
KMT2A/BTBD18	1	1	1
KMT2A/CASC5	6	6	4
KMT2A/CASP8AP2	1	1	1
KMT2A/CBL	1	1	3
KMT2A/CREBBP	7	7	8
KMT2A/CT45A2	1	1	1
KMT2A/DAB2IP	1	1	2
KMT2A/EEFSEC	124	1	1
KMT2A/ELL	43	17	17
KMT2A/EP300	3	3	3
KMT2A/EPS15	131	9	14
KMT2A/FOXO3	2	2	3
KMT2A/FOXO4	1	1	2
KMT2A/FRYL	1	1	1
KMT2A/GAS7	2	2	3
KMT2A/GMPS	1	1	1
KMT2A/GPHN	1	1	2
KMT2A/KIAA0284	2	2	3
KMT2A/KIAA1524	1	1	1
KMT2A/LASP1	1	1	3
KMT2A/LPP	1	1	1
KMT2A/MAPRE1	1	1	1
KMT2A/MLLT1	667	86	29
KMT2A/MLLT10	145	23	26
KMT2A/MLLT11	5	5	7
KMT2A/MLLT3	399	75	33
KMT2A/MLLT4	29	27	26
KMT2A/MLLT6	2	2	9
KMT2A/MYO1F	1	1	1
KMT2A/NCKIPSD	1	1	2
KMT2A/NRIP3	1	1	1
KMT2A/PDS5A	1	1	1
KMT2A/PICALM	1	1	3
KMT2A/PRRC1	1	1	1
KMT2A/SARNP	1	1	1
KMT2A/SEPT2	2	2	4
KMT2A/SEPT5	2	2	1
KMT2A/SEPT6	6	6	13
KMT2A/SEPT9	133	10	14
KMT2A/SH3GL1	1	1	2
KMT2A/SORBS2	1	1	1
KMT2A/TET1	3	3	5
KMT2A/TOP3A	1	1	1
KMT2A/ZFYVE19	1	1	2
KTN1/RET	147	2	9
LIFR/PLAG1	97	4	6
LMNA/NTRK1	38	2	1
LRIG3/ROS1	675	2	11
LSM14A/BRAF	38	1	1
MARK4/ERCC2	6	0	1
MBOAT2/PRKCE	2	2	1
MBTD1/CXorf67	27	3	1
MEAF6/PHF1	3	3	2
MKRN1/BRAF	96	1	1
MSN/ALK	2	2	6
MYB/NFIB	36	11	6
MYO5A/ROS1	38	1	1
NAB2/STAT6	295	246	12
NACC2/NTRK2	96	1	2
NCOA4/RET	4410	358	132
NDRG1/ERG	12	3	2
NF1/ACCN1	2	2	1
NFIA/EHF	2	2	1
NFIX/MAST1	153	1	1
NONO/TFE3	3	1	4
NOTCH1/GABBR2	153	1	1
NPM1/ALK	1344	319	85
NTN1/ACLY	2	2	1
NUP107/LGR5	18	1	1
OMD/USP6	1	1	2
PAX3/FOXO1	1159	380	68
PAX3/NCOA1	6	4	3
PAX3/NCOA2	5	2	2
PAX5/JAK2	3	3	4
PAX7/FOXO1	978	99	52
PAX8/PPARG	1367	86	71
PCM1/JAK2	146	15	15
PCM1/RET	55	1	7
PLA2R1/RBMS1	2	2	1
PLXND1/TMCC1	4	4	1
PPFIBP1/ALK	3	3	3
PPFIBP1/ROS1	38	2	1
PRCC/TFE3	13	11	10
PRKAR1A/RET	1126	30	37
PTPRK/RSPO3	69	5	2
PWWP2A/ROS1	38	2	1
QKI/NTRK2	96	2	2
RAF1/DAZL	2	2	1
RANBP2/ALK	28	18	11
RBM14/PACS1	2	2	1
RGS22/SYCP1	2	2	1
RNF130/BRAF	96	2	2
SDC4/ROS1	677	5	18
SEC16A/NOTCH1	153	2	1
SEC31A/ALK	1	1	5
SEC31A/JAK2	132	2	2
SEPT8/AFF4	2	2	1
SFPQ/TFE3	4	3	8
SLC22A1/CUTA	2	2	1
SLC26A6/PRKAR2A	2	2	1
SLC34A2/ROS1	1216	12	39
SLC45A3/BRAF	6	1	3
SLC45A3/ELK4	21	9	2
SLC45A3/ERG	260	47	3
SLC45A3/ETV1	218	2	3
SLC45A3/ETV5	1	1	1
SND1/BRAF	11	6	2
SQSTM1/ALK	1	1	3
SRGAP3/RAF1	53	4	8
SS18/SSX1	1313	577	133
SS18/SSX2	1314	348	134
SS18/SSX4	259	6	18
SS18L1/SSX1	1	1	1
SSBP2/JAK2	132	1	4
SSH2/SUZ12	2	2	1
STRN/ALK	545	12	3
SUSD1/ROD1	2	2	1
TADA2A/MAST1	153	1	1
TAF15/NR4A3	65	16	10
TCEA1/PLAG1	99	2	8
TCF12/NR4A3	1	1	3
TCF3/PBX1	197	26	2
TECTA/TBCEL	2	2	1
TFG/ALK	340	5	25
TFG/NR4A3	4	1	1
TFG/NTRK1	495	2	26
THRAP3/USP6	1	1	2
TMPRSS2/ERG	6241	2603	101
TMPRSS2/ETV1	1078	21	33
TMPRSS2/ETV4	418	10	18
TMPRSS2/ETV5	1	1	3
TP53/NTRK1	38	1	1
TPM3/ALK	231	25	26
TPM3/NTRK1	629	32	32
TPM3/ROS1	38	1	1
TPM3/ROS1	399	2	12
TPM4/ALK	27	6	13
