A1BG	alpha-1-B_glycoprotein
A1BG-AS1	A1BG_antisense_RNA_1
A1CF	APOBEC1_complementation_factor
A2M	alpha-2-macroglobulin
A2M-AS1	A2M_antisense_RNA_1_(head_to_head)
A2ML1	alpha-2-macroglobulin_like_1
A2ML1-AS1	A2ML1_antisense_RNA_1
A2ML1-AS2	A2ML1_antisense_RNA_2
A2MP1	alpha-2-macroglobulin_pseudogene_1
A3GALT2	alpha_1,3-galactosyltransferase_2
A4GALT	alpha_1,4-galactosyltransferase
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase
AAAS	aladin_WD_repeat_nucleoporin
AACS	acetoacetyl-CoA_synthetase
AACSP1	acetoacetyl-CoA_synthetase_pseudogene_1
AADAC	arylacetamide_deacetylase
AADACL2	arylacetamide_deacetylase-like_2
AADACL2-AS1	AADACL2_antisense_RNA_1
AADACL3	arylacetamide_deacetylase-like_3
AADACL4	arylacetamide_deacetylase-like_4
AADACP1	arylacetamide_deacetylase_pseudogene_1
AADAT	aminoadipate_aminotransferase
AAED1	AhpC/TSA_antioxidant_enzyme_domain_containing_1
AAGAB	alpha-_and_gamma-adaptin_binding_protein
AAK1	AP2_associated_kinase_1
AAMDC	adipogenesis_associated,_Mth938_domain_containing
AAMP	angio_associated_migratory_cell_protein
AANAT	aralkylamine_N-acetyltransferase
AAR2	AAR2_splicing_factor_homolog
AARD	alanine_and_arginine_rich_domain_containing_protein
AARS	alanyl-tRNA_synthetase
AARS2	alanyl-tRNA_synthetase_2,_mitochondrial
AARSD1	alanyl-tRNA_synthetase_domain_containing_1
AARSP1	alanyl-tRNA_synthetase_pseudogene_1
AASDH	aminoadipate-semialdehyde_dehydrogenase
AASDHPPT	aminoadipate-semialdehyde_dehydrogenase-phosphopantetheinyl_transferase
AASS	aminoadipate-semialdehyde_synthase
AATBC	apoptosis_associated_transcript_in_bladder_cancer
AATF	apoptosis_antagonizing_transcription_factor
AATK	apoptosis-associated_tyrosine_kinase
AATK-AS1	AATK_antisense_RNA_1
AAVS1	adeno-associated_virus_integration_site_1
ABALON	apoptotic_BCL2L1-antisense_long_non-coding_RNA
ABAT	4-aminobutyrate_aminotransferase
ABCA1	ATP_binding_cassette_subfamily_A_member_1
ABCA2	ATP_binding_cassette_subfamily_A_member_2
ABCA3	ATP_binding_cassette_subfamily_A_member_3
ABCA4	ATP_binding_cassette_subfamily_A_member_4
ABCA5	ATP_binding_cassette_subfamily_A_member_5
ABCA6	ATP_binding_cassette_subfamily_A_member_6
ABCA7	ATP_binding_cassette_subfamily_A_member_7
ABCA8	ATP_binding_cassette_subfamily_A_member_8
ABCA9	ATP_binding_cassette_subfamily_A_member_9
ABCA9-AS1	ABCA9_antisense_RNA_1
ABCA10	ATP_binding_cassette_subfamily_A_member_10
ABCA11P	ATP_binding_cassette_subfamily_A_member_11,_pseudogene
ABCA12	ATP_binding_cassette_subfamily_A_member_12
ABCA13	ATP_binding_cassette_subfamily_A_member_13
ABCA17P	ATP_binding_cassette_subfamily_A_member_17,_pseudogene
ABCB1	ATP_binding_cassette_subfamily_B_member_1
ABCB4	ATP_binding_cassette_subfamily_B_member_4
ABCB5	ATP_binding_cassette_subfamily_B_member_5
ABCB6	ATP_binding_cassette_subfamily_B_member_6_(Langereis_blood_group)
ABCB7	ATP_binding_cassette_subfamily_B_member_7
ABCB8	ATP_binding_cassette_subfamily_B_member_8
ABCB9	ATP_binding_cassette_subfamily_B_member_9
ABCB10	ATP_binding_cassette_subfamily_B_member_10
ABCB10P1	ATP_binding_cassette_subfamily_B_member_10_pseudogene_1
ABCB10P3	ATP_binding_cassette_subfamily_B_member_10_pseudogene_3
ABCB10P4	ATP_binding_cassette_subfamily_B_member_10_pseudogene_4
ABCB11	ATP_binding_cassette_subfamily_B_member_11
ABCC1	ATP_binding_cassette_subfamily_C_member_1
ABCC2	ATP_binding_cassette_subfamily_C_member_2
ABCC3	ATP_binding_cassette_subfamily_C_member_3
ABCC4	ATP_binding_cassette_subfamily_C_member_4
ABCC5	ATP_binding_cassette_subfamily_C_member_5
ABCC5-AS1	ABCC5_antisense_RNA_1
ABCC6	ATP_binding_cassette_subfamily_C_member_6
ABCC6P1	ATP_binding_cassette_subfamily_C_member_6_pseudogene_1
ABCC6P2	ATP_binding_cassette_subfamily_C_member_6_pseudogene_2
