id	geneID	symbol	geneName	otherID	species	humanOrtho	authority	version_date
1	25	ABL1	c-abl oncogene 1, non-receptor tyrosine kinase	ABL1	human	25	miscellaneous	20110624
2	27	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2	ABL2	human	27	miscellaneous	20110624
3	11214	AKAP13	A kinase (PRKA) anchor protein 13	AKAP13	human	11214	miscellaneous	20110624
4	208	AKT2	v-akt murine thymoma viral oncogene homolog 2	AKT2	human	208	miscellaneous	20110624
5	324	APC	adenomatous polyposis coli	APC	human	324	miscellaneous	20110624
6	369	ARAF	v-raf murine sarcoma 3611 viral oncogene homolog	ARAF	human	369	miscellaneous	20110624
7	472	ATM	ataxia telangiectasia mutated	ATM	human	472	miscellaneous	20110624
8	545	ATR	ataxia telangiectasia and Rad3 related	ATR	human	545	miscellaneous	20110624
9	558	AXL	AXL receptor tyrosine kinase	AXL	human	558	miscellaneous	20110624
10	581	BAX	BCL2-associated X protein	BAX	human	581	miscellaneous	20110624
11	596	BCL2	B-cell CLL/lymphoma 2	BCL2	human	596	miscellaneous	20110624
12	602	BCL3	B-cell CLL/lymphoma 3	BCL3	human	602	miscellaneous	20110624
13	604	BCL6	B-cell CLL/lymphoma 6	BCL6	human	604	miscellaneous	20110624
14	613	BCR	breakpoint cluster region	BCR	human	613	miscellaneous	20110624
15	274	BIN1	bridging integrator 1	BIN1	human	274	miscellaneous	20110624
16	673	BRAF	v-raf murine sarcoma viral oncogene homolog B1	BRAF	human	673	miscellaneous	20110624
17	672	BRCA1	breast cancer 1, early onset	BRCA1	human	672	miscellaneous	20110624
18	675	BRCA2	breast cancer 2, early onset	BRCA2	human	675	miscellaneous	20110624
19	25855	BRMS1	breast cancer metastasis suppressor 1	BRMS1	human	25855	miscellaneous	20110624
20	868	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	CBLB	human	868	miscellaneous	20110624
21	8030	CCDC6	coiled-coil domain containing 6	CCDC6	human	8030	miscellaneous	20110624
22	890	CCNA2	cyclin A2	CCNA2	human	890	miscellaneous	20110624
23	898	CCNE1	cyclin E1	CCNE1	human	898	miscellaneous	20110624
24	3732	CD82	CD82 molecule	CD82	human	3732	miscellaneous	20110624
25	993	CDC25A	cell division cycle 25 homolog A (S. pombe)	CDC25A	human	993	miscellaneous	20110624
26	999	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	CDH1	human	999	miscellaneous	20110624
27	1019	CDK4	cyclin-dependent kinase 4	CDK4	human	1019	miscellaneous	20110624
28	1021	CDK6	cyclin-dependent kinase 6	CDK6	human	1021	miscellaneous	20110624
29	1026	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CDKN1A	human	1026	miscellaneous	20110624
30	1028	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	human	1028	miscellaneous	20110624
31	1029	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	CDKN2A- p14ARF	human	1029	miscellaneous	20110624
32	1030	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	CDKN2B	human	1030	miscellaneous	20110624
33	1031	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	CDKN2C	human	1031	miscellaneous	20110624
34	1087	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	CGM2	human	1087	miscellaneous	20110624
35	1285	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	COL4A3	human	1285	miscellaneous	20110624
36	1398	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	CRK	human	1398	miscellaneous	20110624
37	1399	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	CRKL	human	1399	miscellaneous	20110624
38	1435	CSF1	colony stimulating factor 1 (macrophage)	CSF1	human	1435	miscellaneous	20110624
39	1457	CSNK2A1	casein kinase 2, alpha 1 polypeptide	CSNK2A1	human	1457	miscellaneous	20110624
40	1499	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	CTNNB1	human	1499	miscellaneous	20110624
41	2017	CTTN	cortactin	CTTN	human	2017	miscellaneous	20110624
42	2919	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1	human	2919	miscellaneous	20110624
43	2920	CXCL2	chemokine (C-X-C motif) ligand 2	CXCL2	human	2920	miscellaneous	20110624
44	2921	CXCL3	chemokine (C-X-C motif) ligand 3	CXCL3	human	2921	miscellaneous	20110624
45	1588	CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1	CYP19A1	human	1588	miscellaneous	20110624
46	1630	DCC	deleted in colorectal carcinoma	DCC	human	1630	miscellaneous	20110624
47	1656	DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	DDX6	human	1656	miscellaneous	20110624
48	10395	DLC1	deleted in liver cancer 1	DLC1	human	10395	miscellaneous	20110624
49	1755	DMBT1	deleted in malignant brain tumors 1	DMBT1	human	1755	miscellaneous	20110624
50	1869	E2F1	E2F transcription factor 1	E2F1	human	1869	miscellaneous	20110624
51	1956	EGFR	epidermal growth factor receptor	EGFR	human	1956	miscellaneous	20110624
52	1964	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	EIF1AX	human	1964	miscellaneous	20110624
53	5610	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2	EIF2AK2	human	5610	miscellaneous	20110624
54	1977	EIF4E	eukaryotic translation initiation factor 4E	EIF4E	human	1977	miscellaneous	20110624
55	2002	ELK1	ELK1, member of ETS oncogene family	ELK1	human	2002	miscellaneous	20110624
56	8178	ELL	elongation factor RNA polymerase II	ELL	human	8178	miscellaneous	20110624
57	2012	EMP1	epithelial membrane protein 1	EMP1	human	2012	miscellaneous	20110624
58	2041	EPHA1	EPH receptor A1	EPHA1	human	2041	miscellaneous	20110624
59	2057	EPOR	erythropoietin receptor	EPOR	human	2057	miscellaneous	20110624
60	2064	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	ERBB2	human	2064	miscellaneous	20110624
61	2065	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	ERBB3	human	2065	miscellaneous	20110624
62	2066	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	ERBB4	human	2066	miscellaneous	20110624
63	2114	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	ETS2	human	2114	miscellaneous	20110624
64	2117	ETV3	ets variant 3	ETV3	human	2117	miscellaneous	20110624
65	2120	ETV6	ets variant 6	ETV6	human	2120	miscellaneous	20110624
66	2130	EWSR1	Ewing sarcoma breakpoint region 1	EWSR1	human	2130	miscellaneous	20110624
67	2170	FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	FABP3	human	2170	miscellaneous	20110624
68	2196	FAT2	FAT tumor suppressor homolog 2 (Drosophila)	FAT2	human	2196	miscellaneous	20110624
69	26271	FBXO5	F-box protein 5	FBXO5	human	26271	miscellaneous	20110624
70	2242	FES	feline sarcoma oncogene	FES	human	2242	miscellaneous	20110624
71	2248	FGF3	fibroblast growth factor 3	FGF3	human	2248	miscellaneous	20110624
72	2249	FGF4	fibroblast growth factor 4	FGF4	human	2249	miscellaneous	20110624
73	2250	FGF5	fibroblast growth factor 5	FGF5	human	2250	miscellaneous	20110624
74	2251	FGF6	fibroblast growth factor 6	FGF6	human	2251	miscellaneous	20110624
75	2253	FGF8	fibroblast growth factor 8 (androgen-induced)	FGF8	human	2253	miscellaneous	20110624
76	2268	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	FGR	human	2268	miscellaneous	20110624
77	2272	FHIT	fragile histidine triad gene	FHIT	human	2272	miscellaneous	20110624
78	2321	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	FLT1	human	2321	miscellaneous	20110624
79	8061	FOSL1	FOS-like antigen 1	FOSL1	human	8061	miscellaneous	20110624
80	2355	FOSL2	FOS-like antigen 2	FOSL2	human	2355	miscellaneous	20110624
81	2534	FYN	FYN oncogene related to SRC, FGR, YES	FYN	human	2534	miscellaneous	20110624
