HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved			19q13.43		NM_130786
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	BC040926	NR_015380
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q21.1	AF271790	NM_014576
HGNC:6	A1S9T~withdrawn	symbol withdrawn, see UBA1	Symbol Withdrawn					
HGNC:7	A2M	alpha-2-macroglobulin	Approved		FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313	NM_000014
HGNC:27057	A2M-AS1	A2M antisense RNA 1 (head to head)	Approved			12p13.31		NR_026971
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	CPAMD9	FLJ25179	12p13	AK057908	NM_144670
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved			12p13.31		
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved			12p13.31		
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	Approved	A2MP		12p13.31	M24415	NG_001067
HGNC:10	A2MRAP~withdrawn	symbol withdrawn, see LRPAP1	Symbol Withdrawn					
HGNC:9	A2MR~withdrawn	symbol withdrawn, see LRP1	Symbol Withdrawn					
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	A3GALT2P	IGBS3S, IGB3S	1p35.1		NM_001080438
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase	Approved		A14GALT, Gb3S, P(k)	22q13.2		NM_017436
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved		alpha4GnT	3p14.3	AF141315	NM_016161
HGNC:1	A12M1~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:2	A12M2~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:3	A12M3~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:4	A12M4~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved			12q13	AJ289841	
HGNC:12	AABT~withdrawn	entry withdrawn	Entry Withdrawn					
HGNC:13	AAC1~withdrawn	symbol withdrawn, see NAT1	Symbol Withdrawn					
HGNC:14	AAC2~withdrawn	symbol withdrawn, see NAT2	Symbol Withdrawn					
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	NM_023928
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved	AACSL		5q35		NR_024035
HGNC:13792	AACT~withdrawn	symbol withdrawn, see SERPINA3	Symbol Withdrawn					
HGNC:17	AADAC	arylacetamide deacetylase	Approved		DAC, CES5A1	3q25.1	L32179	NM_001086
HGNC:24427	AADACL2	arylacetamide deacetylase-like 2	Approved		MGC72001	3q25.1	BC065724	NM_207365
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved			3q25.1		
HGNC:32037	AADACL3	arylacetamide deacetylase-like 3	Approved		OTTHUMG00000001887	1p36.21		NM_001103170
HGNC:32038	AADACL4	arylacetamide deacetylase-like 4	Approved		OTTHUMG00000001889	1p36.21		NM_001013630
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	Approved			3q25.1		
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved		KATII, KAT2, KYAT2	4q33	AF097994	NM_016228
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	Approved	C9orf21		9q22.32	BK000255	NM_153698
HGNC:25662	AAGAB	alpha- and gamma-adaptin binding protein	Approved		FLJ11506, p34	15q23	AL136715	NM_024666
HGNC:19679	AAK1	AP2 associated kinase 1	Approved		KIAA1048, DKFZp686K16132	2p13.3	AB028971	NM_014911
HGNC:30205	AAMDC	adipogenesis associated, Mth938 domain containing	Approved	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854	NM_024684
HGNC:18	AAMP	angio associated migratory cell protein	Approved			2q	AB209790	NM_001087
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved		SNAT	17q25.1	U40347	NM_001088
HGNC:15886	AAR2	AAR2 splicing factor homolog	Approved	C20orf4	bA234K24.2	20q11.23		NM_015511
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	C8orf85	LOC441376	8q24.11	AB181519, BC140924	NM_001025357
HGNC:20	AARS	alanyl-tRNA synthetase	Approved		CMT2N	16q22.1	D32050	NM_001605
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096	NM_020745
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved		MGC2744	17q21.31	BC004172	NM_001261434
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1	Approved			4q28.3		
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved		NRPS998, LYS2, ACSF4	4q12	AF516672	NM_181806
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved		LYS5, CGI-80, AASD-PPT, ACPS	11q22	AF302110	NM_015423
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved		LORSDH, LKRSDH	7q31.3	AF229180	NM_005763
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	Approved			21q22.3		NR_026961
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved		DED, CHE-1, CHE1, BFR2	17q12	AF083208	NM_012138
HGNC:21	AATK	apoptosis-associated tyrosine kinase	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541	NM_004920
HGNC:40053	AATK-AS1	AATK antisense RNA 1	Approved			17q25.3		
HGNC:22	AAVS1	adeno-associated virus integration site 1	Approved		AAV	19q13	S51329	
HGNC:11	AA~withdrawn	symbol withdrawn, see TEAD1	Symbol Withdrawn					
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Approved		INXS	20q11.21	KC505631	NR_131907
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved		GABAT	16p13.2	L32961	NM_020686
HGNC:24	ABC1~withdrawn	symbol withdrawn, see ABCA1	Symbol Withdrawn					
HGNC:25	ABC2~withdrawn	symbol withdrawn, see ABCA2	Symbol Withdrawn					
HGNC:26	ABC3~withdrawn	symbol withdrawn, see ABCA3	Symbol Withdrawn					
HGNC:28	ABC7~withdrawn	symbol withdrawn, see ABCB7	Symbol Withdrawn					
HGNC:27	ABC50~withdrawn	symbol withdrawn, see ABCF1	Symbol Withdrawn					
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	ABC1, HDLDT1	TGD	9q31	AJ012376	NM_005502
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	ABC2		9q34	U18235	NM_001606
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735	NM_001089
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22	U88667	NM_000350
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved		EST90625	17q24.3	U66672	NM_018672
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved		EST155051	17q21	U66680	NM_080284
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved		ABCX	19p13.3	AF328787	NM_019112
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved		KIAA0822	17q24	AB020629	NM_007168
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved		EST640918	17q24	AF423307	NM_172386
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved			17q24.2		
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved		EST698739	17q24	AY247065	NM_080282
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Approved	ABCA11	EST1133530, FLJ14297	4p16.3	AK024359	NR_002451.2
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	ICR2B	DKFZP434G232, LI2	2q34	AF418105	NM_173076
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Approved		FLJ33876, FLJ33951	7p12.3	AY204751	NM_152701
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	Approved			16p13.3	DQ266102	NR_003574
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	7q21.12	M14758	NM_000927
HGNC:11563	ABCB2~withdrawn	symbol withdrawn, see TAP1	Symbol Withdrawn					
HGNC:11564	ABCB3~withdrawn	symbol withdrawn, see TAP2	Symbol Withdrawn					
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21	M23234	NM_000443
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved		EST422562, ABCB5beta, ABCB5alpha	7p14	U66692	NM_178559
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved		EST45597, umat, MTABC3	2q36	AF070598	NM_005689
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950	NM_004299
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved		EST328128, M-ABC1, MABC1	7q36.1	AF047690	NM_007188
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved		EST122234	12q24	U66676	NM_019624
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved		EST20237, M-ABC2, MTABC2	1q32	U18237	NM_012089
HGNC:14114	ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1	Approved	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2	AF218417	
HGNC:31128	ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1	Symbol Withdrawn					
HGNC:31129	ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3	Approved			15q13.1		
