URL	Gene Family Tag	Gene Family Description	Symbol	HGNC ID
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	EPRS	3418
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	CARS	1493
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	CARS2	25695
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	EARS2	29419
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	IARS	5330
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	IARS2	29685
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	LARS	6512
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	LARS2	17095
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	MARS	6898
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	MARS2	25133
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	QARS	9751
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	RARS	9870
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	RARS2	21406
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	VARS	12651
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	VARS2	21642
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	WARS	12729
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	WARS2	12730
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	YARS	12840
http://www.genenames.org/genefamilies/AARS#AARS1	aaRS1	Aminoacyl tRNA synthetases / Class I	YARS2	24249
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	AARS	20
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	AARS2	21022
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	DARS	2678
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	DARS2	25538
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	FARS2	21062
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	FARSA	3592
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	FARSB	17800
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	GARS	4162
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	HARS	4816
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	HARS2	4817
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	KARS	6215
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	NARS	7643
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	NARS2	26274
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	PARS2	30563
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	SARS	10537
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	SARS2	17697
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	TARS	11572
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	TARS2	30740
http://www.genenames.org/genefamilies/AARS#AARS2	aaRS2	Aminoacyl tRNA synthetases / Class II	EPRS	3418
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA1	29
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA2	32
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA3	33
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA4	34
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA5	35
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA6	36
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA7	37
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA8	38
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA9	39
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA10	30
http://www.genenames.org/genefamilies/ABC#ABCA	ABCA	ATP binding cassette transporters / subfamily A	ABCA11P	31
