A1BG--ITIH4	Liver=[count:3=pct:2.5]
ABCA1--SLC44A1	Nerve=[count:2=pct:1.2]
ABCA2--ZSCAN18	Brain=[count:3=pct:0.5]
ABCC1--MYH11	Esophagus=[count:2=pct:0.5]
ABCC2--BHMT	Liver=[count:2=pct:1.7]
ABCD2--KIF21A	Brain=[count:4=pct:0.6],Heart=[count:2=pct:0.8],Uterus=[count:2=pct:4.7],Adipose_Tissue=[count:2=pct:0.7]
ABHD3--RNPC3	Colon=[count:1=pct:0.5],Blood=[count:1=pct:0.6]
ABI3BP--TFG	Lung=[count:3=pct:1.8],Blood_Vessel=[count:2=pct:0.5],Adipose_Tissue=[count:2=pct:0.7],Ovary=[count:1=pct:1.9],Heart=[count:1=pct:0.4],Thyroid=[count:1=pct:0.6]
AC005944.2--HBB	Whole_Blood=[count:3=pct:2.3]
AC006486.9--CIC	Lung=[count:1=pct:0.6],Blood_Vessel=[count:1=pct:0.3]
AC006486.9--PPP1R12C	Blood_Vessel=[count:1=pct:0.3],Esophagus=[count:1=pct:0.2]
AC007131.2--RP11-444A22.1	Testis=[count:10=pct:9.5]
AC007392.3--AC007403.2	Colon=[count:4=pct:2.1],Prostate=[count:3=pct:4.9],Brain=[count:3=pct:0.5],Uterus=[count:2=pct:4.7],Esophagus=[count:2=pct:0.5],Bladder=[count:1=pct:11.1]
AC011330.5--PDIA3	Brain=[count:2=pct:0.3]
AC011752.1--AC067959.1	Blood_Vessel=[count:3=pct:0.8]
AC016907.3--ALK	Brain=[count:14=pct:2.1],Testis=[count:6=pct:5.7],Adrenal_Gland=[count:1=pct:1.2],Nerve=[count:1=pct:0.6],Breast=[count:1=pct:0.9],Prostate=[count:1=pct:1.6]
AC019349.5--CRNN	Esophagus=[count:38=pct:9.4],Salivary_Gland=[count:2=pct:5.1],Vagina=[count:2=pct:3.6],Ovary=[count:1=pct:1.9]
AC019349.5--KRT4	Esophagus=[count:12=pct:3.0],Vagina=[count:1=pct:1.8]
AC019349.5--S100A9	Esophagus=[count:50=pct:12.3],Vagina=[count:5=pct:9.1],Salivary_Gland=[count:2=pct:5.1],Cervix_Uteri=[count:1=pct:12.5],Ovary=[count:1=pct:1.9]
AC053503.6--ACTB	Colon=[count:1=pct:0.5],Esophagus=[count:1=pct:0.2],Stomach=[count:1=pct:1.1]
AC053503.6--FLNA	Esophagus=[count:4=pct:1.0],Colon=[count:1=pct:0.5]
AC053503.6--FLNC	Heart=[count:2=pct:0.8]
AC053503.6--NTPCR	Blood_Vessel=[count:1=pct:0.3],Esophagus=[count:1=pct:0.2]
AC053503.6--RP5-977B1.11	Esophagus=[count:7=pct:1.7]
AC053503.6--RPL8	Esophagus=[count:3=pct:0.7]
AC068831.6--CERK	Brain=[count:19=pct:2.9],Pituitary=[count:9=pct:17.3],Thyroid=[count:5=pct:2.8],Heart=[count:5=pct:2.0],Blood=[count:3=pct:1.7],Spleen=[count:3=pct:2.7],Skin=[count:2=pct:0.6],Whole_Blood=[count:2=pct:1.5],Lung=[count:2=pct:1.2],Pancreas=[count:2=pct:1.1],Blood_Vessel=[count:2=pct:0.5],Muscle=[count:1=pct:0.4],Small_Intestine=[count:1=pct:1.8],Esophagus=[count:1=pct:0.2]
AC073342.12--KEL	Brain=[count:3=pct:0.5]
AC096579.7--IGH@	Spleen=[count:2=pct:1.8]
AC096579.7--IGKV5-2	Spleen=[count:6=pct:5.4],Small_Intestine=[count:2=pct:3.6],Colon=[count:1=pct:0.5],Thyroid=[count:1=pct:0.6]
AC096579.7--IGL@	Spleen=[count:8=pct:7.1],Lung=[count:1=pct:0.6],Salivary_Gland=[count:1=pct:2.6],Adipose_Tissue=[count:1=pct:0.3],Blood=[count:1=pct:0.6]
AC109333.10--ALDOA	Muscle=[count:2=pct:0.9]
AC131097.3--ACTG1	Uterus=[count:1=pct:2.3],Esophagus=[count:1=pct:0.2]
AC131097.3--EHMT1	Heart=[count:1=pct:0.4],Skin=[count:1=pct:0.3]
AC138969.4--NOMO3	Brain=[count:2=pct:0.3],Blood_Vessel=[count:1=pct:0.3]
ACTA1--COL6A1	Muscle=[count:2=pct:0.9],Heart=[count:1=pct:0.4]
ACTA1--FLNC	Heart=[count:2=pct:0.8],Muscle=[count:2=pct:0.9]
ACTA2-AS1--FLNA	Blood_Vessel=[count:2=pct:0.5],Esophagus=[count:1=pct:0.2],Colon=[count:1=pct:0.5]
ACTA2-AS1--LMOD1	Blood_Vessel=[count:1=pct:0.3],Esophagus=[count:1=pct:0.2]
ACTC1--MYH6	Heart=[count:2=pct:0.8]
ACTC1--TNNT2	Heart=[count:2=pct:0.8]
ACTG2--AEBP1	Colon=[count:2=pct:1.0],Stomach=[count:1=pct:1.1]
ACTG2--MYH11	Colon=[count:1=pct:0.5],Bladder=[count:1=pct:11.1],Esophagus=[count:1=pct:0.2]
ACTG2--MYLK	Esophagus=[count:2=pct:0.5]
ACTN2--RNPC3	Muscle=[count:12=pct:5.1],Heart=[count:1=pct:0.4]
ACTR3C--RP11-728K20.1	Brain=[count:2=pct:0.3],Liver=[count:1=pct:0.8],Breast=[count:1=pct:0.9]
ADAM3A--ADAM5	Testis=[count:8=pct:7.6]
ADAMTS2--RP11-798K23.4	Liver=[count:1=pct:0.8],Lung=[count:1=pct:0.6],Nerve=[count:1=pct:0.6]
ADAP1--GET4	Blood=[count:2=pct:1.1],Whole_Blood=[count:1=pct:0.8]
ADAP1--SUN1	Esophagus=[count:10=pct:2.5],Colon=[count:8=pct:4.2],Small_Intestine=[count:1=pct:1.8]
ADNP2--RBFADN	Kidney=[count:1=pct:7.1],Spleen=[count:1=pct:0.9],Blood_Vessel=[count:1=pct:0.3],Testis=[count:1=pct:1.0],Pancreas=[count:1=pct:0.6],Esophagus=[count:1=pct:0.2],Prostate=[count:1=pct:1.6],Lung=[count:1=pct:0.6],Thyroid=[count:1=pct:0.6]
ADNP2--RP11-795F19.5	Heart=[count:1=pct:0.4],Nerve=[count:1=pct:0.6],Blood_Vessel=[count:1=pct:0.3],Esophagus=[count:1=pct:0.2]
ADSSL1--ALDOA	Muscle=[count:2=pct:0.9]
AEBP2--PLEKHA5	Testis=[count:3=pct:2.9]
AF131217.1--AL035610.2	Esophagus=[count:8=pct:2.0],Prostate=[count:3=pct:4.9],Adipose_Tissue=[count:1=pct:0.3],Breast=[count:1=pct:0.9]
AGK--NDUFB2	Esophagus=[count:1=pct:0.2],Thyroid=[count:1=pct:0.6]
AIM2--MNDA	Blood=[count:1=pct:0.6],Whole_Blood=[count:1=pct:0.8]
AKR1C1--AKR1E2	Brain=[count:3=pct:0.5],Blood=[count:1=pct:0.6]
AL132709.5--MEG8	Brain=[count:5=pct:0.8]
ALB--ORM1	Liver=[count:2=pct:1.7]
ALDOA--TNNC1	Muscle=[count:3=pct:1.3]
AMIGO3--HBB	Whole_Blood=[count:1=pct:0.8],Blood=[count:1=pct:0.6]
AMMECR1--CHRDL1	Esophagus=[count:2=pct:0.5],Thyroid=[count:1=pct:0.6],Brain=[count:1=pct:0.2],Blood_Vessel=[count:1=pct:0.3]
AMY2A--CELA2A	Pancreas=[count:2=pct:1.1]
AMY2A--CPA2	Pancreas=[count:7=pct:3.9]
AMY2A--PNLIP	Pancreas=[count:7=pct:3.9]
AMY2B--CPA2	Pancreas=[count:8=pct:4.4]
AMY2B--PNLIP	Pancreas=[count:7=pct:3.9]
AMYP1--CPB1	Pancreas=[count:2=pct:1.1]
AMYP1--PNLIP	Pancreas=[count:4=pct:2.2]
ANKRD10--ING1	Colon=[count:1=pct:0.5],Blood=[count:1=pct:0.6]
ANKRD23--MYL2	Muscle=[count:6=pct:2.6]
ANKS3--KATNA1	Testis=[count:3=pct:2.9],Nerve=[count:1=pct:0.6],Lung=[count:1=pct:0.6]
ANO7--HDLBP	Brain=[count:1=pct:0.2],Muscle=[count:1=pct:0.4]
ANXA11--ACTG1	Muscle=[count:4=pct:1.7],Heart=[count:1=pct:0.4]
AP000230.1--AP001596.6	Brain=[count:3=pct:0.5]
AP000230.1--AP001597.1	Brain=[count:8=pct:1.2]
AP003900.6--AP000345.1	Testis=[count:4=pct:3.8]
AP006216.12--TF	Liver=[count:2=pct:1.7]
AP1G2--FAM50A	Liver=[count:3=pct:2.5],Esophagus=[count:1=pct:0.2],Spleen=[count:1=pct:0.9],Breast=[count:1=pct:0.9],Thyroid=[count:1=pct:0.6],Prostate=[count:1=pct:1.6],Skin=[count:1=pct:0.3]
AP1G2--MBNL3	Pituitary=[count:2=pct:3.8],Liver=[count:1=pct:0.8],Whole_Blood=[count:1=pct:0.8],Thyroid=[count:1=pct:0.6]
AP3D1--OAZ1	Adipose_Tissue=[count:1=pct:0.3],Esophagus=[count:1=pct:0.2]
AP3D1--SLC6A8	Blood_Vessel=[count:2=pct:0.5],Thyroid=[count:1=pct:0.6],Spleen=[count:1=pct:0.9],Esophagus=[count:1=pct:0.2],Pituitary=[count:1=pct:1.9]
APBB2--LIMCH1	Thyroid=[count:1=pct:0.6],Lung=[count:1=pct:0.6]
APBB3--CYSTM1	Whole_Blood=[count:2=pct:1.5]
APLP2--PGA3	Stomach=[count:7=pct:7.9]
APOH--C1S	Liver=[count:2=pct:1.7]
APP--ATP5J	Lung=[count:1=pct:0.6],Skin=[count:1=pct:0.3]
ARAP1--DHX34	Whole_Blood=[count:7=pct:5.3],Blood=[count:5=pct:2.9]
ARHGAP15--GTDC1	Whole_Blood=[count:1=pct:0.8],Blood=[count:1=pct:0.6]
ARHGDIG--TMEM8A	Small_Intestine=[count:2=pct:3.6]
ARIH1--C19orf71	Thyroid=[count:2=pct:1.1],Skin=[count:2=pct:0.6],Pancreas=[count:1=pct:0.6],Blood=[count:1=pct:0.6]
ARL15--NDUFS4	Heart=[count:2=pct:0.8],Blood_Vessel=[count:1=pct:0.3],Adrenal_Gland=[count:1=pct:1.2],Thyroid=[count:1=pct:0.6],Colon=[count:1=pct:0.5]
ARMC10--OSR1	Blood_Vessel=[count:3=pct:0.8],Brain=[count:3=pct:0.5],Thyroid=[count:2=pct:1.1],Nerve=[count:2=pct:1.2],Esophagus=[count:1=pct:0.2],Skin=[count:1=pct:0.3],Lung=[count:1=pct:0.6],Prostate=[count:1=pct:1.6],Ovary=[count:1=pct:1.9]
ARMC4--DPM1	Brain=[count:1=pct:0.2],Uterus=[count:1=pct:2.3],Muscle=[count:1=pct:0.4]
ARMCX6--ARMCX4	Muscle=[count:1=pct:0.4],Skin=[count:1=pct:0.3]
ARPC5--CACNA1E	Blood=[count:3=pct:1.7]
ARRB1--GDPD5	Heart=[count:1=pct:0.4],Blood_Vessel=[count:1=pct:0.3],Testis=[count:1=pct:1.0],Muscle=[count:1=pct:0.4],Blood=[count:1=pct:0.6]
ARRDC2--FKBP8	Blood=[count:2=pct:1.1],Whole_Blood=[count:1=pct:0.8]
ARRDC2--GZMM	Blood=[count:4=pct:2.3],Whole_Blood=[count:1=pct:0.8]
ARRDC2--R3HDM4	Whole_Blood=[count:2=pct:1.5]
ARRDC2--RAD23A	Blood=[count:2=pct:1.1],Whole_Blood=[count:1=pct:0.8]
ASPH--B2M	Whole_Blood=[count:2=pct:1.5]
ASPH--LYN	Whole_Blood=[count:3=pct:2.3],Blood=[count:1=pct:0.6]
ATP2A1--ALDOA	Muscle=[count:2=pct:0.9]
ATP2A1--DMPK	Muscle=[count:3=pct:1.3]
ATP2A1--TNNT3	Muscle=[count:2=pct:0.9]
